"CIA HERING","NM","3/5/2020","3/5/2020","3/5/2020","3/5/2020","4/27/2020","4/27/2020","7/6/2020","7/6/2020","","","5/28/2020","5/28/2020","8/13/2020","","10/29/2020","","3/6/2020","","5/29/2020","","8/14/2020","","10/30/2020",""
"CIELO","NM","1/27/2020","1/27/2020","1/27/2020","1/27/2020","7/24/2020","7/24/2020","7/28/2020","7/28/2020","","","4/28/2020","4/28/2020","7/28/2020","","10/27/2020","","1/28/2020","","4/29/2020","","7/29/2020","","10/28/2020",""
"CINESYSTEM","MA","3/27/2020","3/27/2020","3/27/2020","3/27/2020","4/28/2020","4/28/2020","6/30/2020","6/30/2020","","","6/5/2020","6/5/2020","8/28/2020","","11/13/2020","","","","","","","","",""
"COGNA ON","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","7/29/2020","7/29/2020","7/31/2020","7/31/2020","","","5/22/2020","5/21/2020","8/20/2020","","11/13/2020","","3/31/2020","","5/21/2020","","8/21/2020","","11/13/2020",""
"COPASA","NM","3/19/2020","3/19/2020","3/19/2020","3/19/2020","4/29/2020","4/29/2020","7/24/2020","7/24/2020","","","4/30/2020","4/30/2020","7/30/2020","","11/13/2020","","3/23/2020","","5/15/2020","","8/3/2020","","11/19/2020",""
"COPEL","N1","3/25/2020","3/25/2020","3/25/2020","3/25/2020","4/28/2020","4/28/2020","5/29/2020","5/29/2020","8/26/2020","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","","","","","","","",""
"COSAN","NM","2/14/2020","2/14/2020","2/14/2020","2/14/2020","7/29/2020","7/29/2020","7/31/2020","7/31/2020","","","5/29/2020","5/29/2020","8/10/2020","","11/13/2020","","2/17/2020","","5/12/2020","","8/11/2020","","11/16/2020",""
"COSAN LOG","NM","2/17/2020","2/17/2020","2/17/2020","2/17/2020","7/29/2020","7/29/2020","7/31/2020","7/31/2020","","","5/28/2020","5/28/2020","8/14/2020","","11/12/2020","","2/17/2020","","5/5/2020","","8/14/2020","","11/12/2020",""
"CPFL ENERGIA","NM","3/9/2020","3/9/2020","3/9/2020","3/9/2020","7/31/2020","","5/22/2020","5/22/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/10/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"CPFL RENOVAV","NM","3/9/2020","3/9/2020","3/9/2020","3/9/2020","6/25/2020","6/25/2020","5/29/2020","5/29/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/10/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"CR2","NM","3/27/2020","3/27/2020","3/27/2020","3/27/2020","4/29/2020","4/30/2020","5/27/2020","5/29/2020","","","6/16/2020","6/16/2020","8/12/2020","","11/12/2020","","3/30/2020","","5/14/2020","","8/13/2020","","11/13/2020",""
"CSU CARDSYST","NM","3/11/2020","3/11/2020","3/11/2020","3/11/2020","4/29/2020","4/29/2020","5/28/2020","5/28/2020","","","5/6/2020","5/6/2020","8/12/2020","","11/4/2020","","3/12/2020","","5/7/2020","","8/13/2020","","11/5/2020",""
"CTC S.A.","MA","6/19/2020","6/19/2020","6/19/2020","6/19/2020","7/23/2020","7/23/2020","8/28/2020","","","","8/14/2020","","11/16/2020","","2/12/2021","","","","","","","","",""
"CVC BRASIL","NM","7/31/2020","8/3/2020","7/31/2020","","9/30/2020","","8/31/2020","","","","7/31/2020","","8/13/2020","","11/12/2020","","8/3/2020","","8/3/2020","","8/14/2020","","11/13/2020",""
"CYRE COM-CCP","NM","2/17/2020","2/17/2020","2/17/2020","2/17/2020","4/30/2020","4/30/2020","5/31/2020","7/31/2020","","","5/15/2020","5/7/2020","8/6/2020","","11/13/2020","","2/18/2020","","5/8/2020","","8/7/2020","","11/16/2020",""
"CYRELA REALT","NM","3/19/2020","3/19/2020","3/19/2020","3/19/2020","7/23/2020","7/23/2020","7/31/2020","7/30/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/20/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"D1000VFARMA","NM","7/16/2020","7/16/2020","7/16/2020","7/16/2020","3/3/2020","3/3/2020","7/16/2020","7/16/2020","","","7/16/2020","7/16/2020","8/16/2020","","11/4/2020","","7/17/2020","","7/17/2020","","8/17/2020","","11/5/2020",""
"DIRECIONAL","NM","3/9/2020","3/9/2020","3/9/2020","3/9/2020","5/25/2020","5/25/2020","6/1/2020","6/1/2020","","1/13/2020","5/12/2020","5/14/2020","8/14/2020","","11/9/2020","","3/10/2020","","5/13/2020","","8/17/2020","","11/10/2020",""
"DURATEX","NM","2/12/2020","2/12/2020","2/12/2020","2/12/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","","","5/6/2020","5/6/2020","7/29/2020","","10/30/2020","","2/13/2020","","5/7/2020","","7/30/2020","","11/3/2020",""
"ECORODOVIAS","NM","2/18/2020","2/18/2020","2/18/2020","2/18/2020","4/16/2020","4/16/2020","6/5/2020","6/5/2020","","1/15/2020","6/29/2020","6/29/2020","7/29/2020","","11/4/2020","","2/19/2020","","6/30/2020","","7/30/2020","","11/5/2020",""
"ELETROBRAS","N1","3/27/2020","3/27/2020","3/27/2020","3/27/2020","7/29/2020","7/29/2020","6/25/2020","6/25/2020","9/1/2020","","5/28/2020","5/28/2020","8/12/2020","","11/11/2020","","","","","","","","",""
"EMBRAER","NM","3/26/2020","3/26/2020","3/26/2020","3/26/2020","4/29/2020","4/30/2020","7/31/2020","7/31/2020","","","6/1/2020","6/1/2020","7/30/2020","","8/5/2020","","3/26/2020","","6/1/2020","","8/5/2020","","10/29/2020",""
"ENAUTA PART","NM","3/11/2020","3/11/2020","3/11/2020","3/11/2020","6/24/2020","6/24/2020","7/16/2020","7/16/2020","","","5/13/2020","5/13/2020","8/5/2020","","11/11/2020","","3/12/2020","","5/14/2020","","8/6/2020","","11/12/2020",""
"ENERGIAS BR","NM","2/18/2020","2/18/2020","2/18/2020","2/18/2020","3/31/2020","3/31/2020","7/6/2020","7/6/2020","","","5/5/2020","5/5/2020","8/28/2020","","10/28/2020","","2/19/2020","","5/6/2020","","8/31/2020","","10/29/2020",""
"ENERGISA","N2","3/12/2020","3/12/2020","3/12/2020","3/12/2020","4/28/2020","4/28/2020","6/5/2020","6/4/2020","9/10/2020","","5/14/2020","5/14/2020","8/13/2020","","11/10/2020","","5/29/2020","","","","","","",""
"ENEVA","NM","3/23/2020","3/23/2020","3/23/2020","3/23/2020","4/29/2020","4/29/2020","7/31/2020","7/31/2020","","","5/14/2020","5/15/2020","8/11/2020","","11/12/2020","","3/24/2020","","5/18/2020","","8/12/2020","","11/13/2020",""
"ENGIE BRASIL","NM","2/18/2020","2/18/2020","2/18/2020","2/18/2020","4/28/2020","4/28/2020","5/29/2020","5/29/2020","","1/16/2020","6/24/2020","6/24/2020","7/30/2020","","11/5/2020","","2/19/2020","","6/25/2020","","7/31/2020","","11/6/2020",""
"EQUATORIAL","NM","5/22/2020","5/22/2020","5/22/2020","5/22/2020","7/8/2020","7/8/2020","7/31/2020","7/31/2020","","","6/29/2020","6/29/2020","8/13/2020","","11/5/2020","","5/25/2020","","6/30/2020","","8/17/2020","","11/6/2020",""
"ESTAPAR","NM","5/14/2020","5/14/2020","5/14/2020","5/14/2020","5/5/2020","5/5/2020","5/14/2020","5/14/2020","","","6/29/2020","6/29/2020","8/13/2020","","11/12/2020","","5/14/2020","","6/30/2020","","8/14/2020","","11/13/2020",""
"ETERNIT","NM","3/25/2020","3/25/2020","3/25/2020","3/25/2020","4/28/2020","4/28/2020","7/29/2020","7/29/2020","","","5/28/2020","5/28/2020","8/11/2020","","11/10/2020","","3/26/2020","","5/29/2020","","8/12/2020","","11/11/2020",""
"EUCATEX","N1","3/25/2020","3/25/2020","3/25/2020","3/25/2020","7/31/2020","7/31/2020","7/31/2020","8/3/2020","11/12/2020","","6/24/2020","6/24/2020","8/26/2020","","11/11/2020","","3/4/2020","","5/18/2020","","8/17/2020","","11/16/2020",""
"EVEN","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","6/30/2020","6/30/2020","","","5/15/2020","5/15/2020","7/30/2020","","11/12/2020","","3/31/2020","","5/18/2020","","7/31/2020","","11/13/2020",""
"EZTEC","NM","3/19/2020","3/19/2020","3/19/2020","3/19/2020","4/28/2020","4/28/2020","6/5/2020","6/5/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/18/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"FER HERINGER","NM","3/31/2020","3/31/2020","3/31/2020","3/31/2020","7/31/2020","7/31/2020","7/31/2020","7/31/2020","","","6/15/2020","6/15/2020","8/21/2020","","11/13/2020","","4/3/2020","","6/16/2020","","8/24/2020","","11/16/2020",""
"FERBASA","N1","3/3/2020","3/3/2020","3/3/2020","3/3/2020","7/28/2020","7/28/2020","7/31/2020","7/31/2020","9/1/2020","","5/22/2020","5/22/2020","8/13/2020","","11/13/2020","","","","","","","","",""
"FLEURY","NM","2/19/2020","2/19/2020","2/19/2020","2/19/2020","7/31/2020","7/31/2020","7/24/2020","7/24/2020","","","5/15/2020","5/14/2020","7/30/2020","","10/29/2020","","2/20/2020","","4/24/2020","","7/31/2020","","10/30/2020",""
"FLEX S/A","MA","3/31/2020","3/31/2020","3/31/2020","3/31/2020","4/30/2020","4/30/2020","7/31/2020","7/31/2020","","","6/19/2020","6/19/2020","8/18/2020","","11/14/2020","","","","","","","","",""
"FRAS-LE","N1","3/4/2020","3/4/2020","3/4/2020","3/4/2020","4/8/2020","4/8/2020","6/30/2020","6/30/2020","11/12/2020","","6/3/2020","6/3/2020","8/12/2020","","11/11/2020","","","","","","","","",""
"GAFISA","NM","3/26/2020","3/26/2020","3/26/2020","3/26/2020","4/30/2020","4/30/2020","5/29/2020","7/31/2020","","","5/14/2020","5/14/2020","8/11/2020","","11/11/2020","","3/26/2020","","5/15/2020","","8/12/2020","","11/12/2020",""
"GENERALSHOPP","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","","","5/13/2020","5/13/2020","8/13/2020","","11/13/2020","","3/31/2020","","5/14/2020","","8/14/2020","","11/16/2020",""
"GERDAU","N1","2/19/2020","2/19/2020","2/19/2020","2/19/2020","7/20/2020","7/20/2020","5/29/2020","5/29/2020","11/11/2020","","5/6/2020","5/6/2020","8/5/2020","","10/28/2020","","","","","","","","",""
"GERDAU MET","N1","2/19/2020","2/19/2020","2/19/2020","2/19/2020","7/24/2020","7/24/2020","5/29/2020","5/29/2020","11/11/2020","","5/6/2020","5/6/2020","8/5/2020","","10/28/2020","","","","","","","","",""
"GOL","N2","2/28/2020","2/28/2020","2/28/2020","2/28/2020","4/16/2020","4/16/2020","7/31/2020","7/31/2020","1/9/2020","1/10/2020","6/29/2020","6/29/2020","7/31/2020","","10/30/2020","","","","","","","","",""
"GRENDENE","NM","2/13/2020","2/13/2020","2/13/2020","2/13/2020","7/6/2020","7/6/2020","7/31/2020","7/31/2020","","","5/14/2020","5/14/2020","8/13/2020","","10/29/2020","","5/15/2020","","8/14/2020","","7/31/2020","","10/30/2020",""
"GRUPO NATURA","NM","3/5/2020","3/5/2020","3/5/2020","3/5/2020","4/30/2020","4/30/2020","7/31/2020","7/31/2020","","1/6/2020","5/7/2020","5/8/2020","8/13/2020","","11/12/2020","","","","","","","","",""
"GRUPO SOMA","NM","2/27/2020","2/27/2020","2/27/2020","2/27/2020","4/6/2020","4/6/2020","7/30/2020","7/30/2020","","","5/5/2020","5/5/2020","8/14/2020","","11/4/2020","","2/28/2020","","5/6/2020","","8/17/2020","","11/5/2020",""
"HAPVIDA","NM","3/25/2020","3/26/2020","3/25/2020","3/26/2020","4/28/2020","4/28/2020","6/30/2020","6/30/2020","","","5/20/2020","5/20/2020","8/13/2020","","11/16/2020","","3/26/2020","","5/14/2020","","8/14/2020","","11/17/2020",""
"HELBOR","NM","3/31/2020","3/31/2020","3/31/2020","3/31/2020","6/30/2020","6/30/2020","7/31/2020","7/31/2020","","","6/16/2020","6/16/2020","8/13/2020","","11/13/2020","","6/17/2020","","5/18/2020","","8/14/2020","","11/16/2020",""
"HYPERA","NM","3/6/2020","3/6/2020","3/6/2020","3/6/2020","4/22/2020","4/22/2020","5/29/2020","5/29/2020","","1/14/2020","4/24/2020","4/24/2020","7/24/2020","","10/23/2020","","3/9/2020","","4/27/2020","","7/27/2020","","10/26/2020",""
"IGUA SA","MA","3/3/2020","3/3/2020","3/3/2020","3/3/2020","5/13/2020","5/13/2020","7/24/2020","7/24/2020","","","5/26/2020","5/26/2020","8/21/2020","","11/13/2020","","","","","","","","",""
"IGUATEMI","NM","2/18/2020","2/18/2020","2/18/2020","2/18/2020","6/25/2020","6/25/2020","7/31/2020","7/31/2020","","","5/26/2020","5/26/2020","8/4/2020","","11/5/2020","","2/19/2020","","5/27/2020","","8/5/2020","","11/6/2020",""
"IHPARDINI","NM","3/24/2020","3/24/2020","3/24/2020","3/24/2020","4/28/2020","5/8/2020","6/30/2020","6/30/2020","","","5/18/2020","5/18/2020","8/13/2020","","11/11/2020","","3/25/2020","","5/19/2020","","8/14/2020","","11/12/2020",""
"IMC S/A","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","7/10/2020","7/10/2020","","","6/1/2020","6/1/2020","8/31/2020","","11/13/2020","","3/31/2020","","6/2/2020","","9/1/2020","","11/16/2020",""
"INDS ROMI","NM","2/11/2020","2/11/2020","2/11/2020","2/11/2020","3/17/2020","3/17/2020","5/29/2020","5/29/2020","","","4/28/2020","4/28/2020","7/21/2020","7/21/2020","10/20/2020","","2/12/2020","","4/29/2020","","7/22/2020","","10/21/2020",""
"INDUSVAL","N2","3/30/2020","3/30/2020","3/30/2020","3/30/2020","7/30/2020","7/30/2020","7/31/2020","7/31/2020","11/1/2020","","7/1/2020","7/1/2020","8/28/2020","","11/12/2020","","","","","","","","",""
